Trim72
Bdh1
Ckmt2
Rpl3l
Hspb8
Acta1
Trim54
Acss1
Csdc2
Slc38a3
Mapt
Oxct1
Cox7a1
Rxrg
Sh3rf2
Ccng1
Tuba4a
Art1
Arhgap20
Xdh
Lpin1
Mb
Limch1
Gsn
Crispld2
Gm5532
Itga7
Hmcn2
Lrrc2
Ank1
Slc2a4
Hspb6
Gm45670
Lpl
Fitm2
Acad11
Mid1ip1
Ankrd23
S100a1
Myot
Lynx1
Lmod2
Ces1d
Hk2
Atp1a2
Ace
P2ry2
Lims2
Zfp106
Jam2
Tcaim
Fblim1
Agtpbp1
Bcl6
Egln1
Coq8a
C7
Psme4
Me3
Cmya5
Chpt1
Asb15
Cfh
Mtfp1
Trabd2b
Fbxo31
Alpl
Nampt
Slc39a14
Perm1
Scp2
Col8a1
Tcap
Ankrd9
Thrsp
Itgb6
Fndc5
Lyz2
2310002L09Rik
Creg1
Wfs1
Egln3
Mtr
Ly6a
Rom1
Sod3
Ly6c1
Hrc
Rcan2
P2ry1
Asb10
Rap1gap2
Gpt
Twf2
Pi16
Optn
Slco5a1
Gpcpd1
Parp3
Ppip5k1
Htra3
Gfod1
Tmtc1
Fhl2
Ldhd
Cox8b
Klhl33
Coq10a
Sorbs1
Ackr3
Hjv
Aqp1
Pkia
Efcab2
Tnfaip2
Dglucy
Eef1a2
Ndrg2
Pde4dip
Ank
Fbxo40
Clic5
Cebpb
Klf9
Hr
Slc25a34
Alas2
Hbb-bs
Serping1
Tecr
Ptpn3
Aldh4a1
Reep5
Slco3a1
Gm14327
Art3
Ak4
Acyp2
Gpd1
Myoz2
Ccdc9b
Adamtsl5
Ogdh
Pfkm
Pstpip2
Got1
Thrb
Rhobtb1
Maob
Pnpla2
Srrm4
Pptc7
Extl1
Grm1
Tuba8
Rassf3
Kif1c
2210408F21Rik
Scn5a
C1qtnf9
Pink1
Dynll2
Gda
Acox1
Nr4a3
Iigp1
Rai2
Gstk1
Rilpl1
Fbxo32
Tmem144
Pik3r1
Tango2
Chrm2
Coq9
Csf1
Ephx2
C1qa
Armc2
Abcc1
Gpam
Sod2
Fmo2
Ephb1
Cdnf
Clu
Cyb561
Dgat2
Dcn
Pacsin3
Dmpk
Ivd
Zfp651
Cryab
Gpc1
Kmt5a
Ech1
Gstm1
Smpd1
Cox6a2
Saraf
Sqor
Galnt15
Klhdc8a
Herpud1
Slc35e1
Mpc2
Pln
Tacc2
Mavs
Dtna
BC004004
Prxl2b
Abcb4
Scn7a
Acot13
