sample,ftp
HIPP_sc_rep1,https://zenodo.org/records/17604678/files/HIPP_sc_rep1_10x.subset.bam
HIPP_sc_rep2,https://zenodo.org/records/17604678/files/HIPP_sc_rep2_10x.subset.bam
