gene_id	KO_840	KO_843	KO_857	KO_891	WT_841	WT_842	WT_858	WT_892
ENSMUSG00000070687.11	0	1	1	0	0	0	0	0
ENSMUSG00000066178.2	12	3	0	0	5	6	0	0
ENSMUSG00000001089.14	572	669	5609	3041	915	485	3064	4474
ENSMUSG00000036940.15	1949	1562	2495	2395	2045	1122	2532	2351
ENSMUSG00000082711.1	2	5	0	0	0	0	0	1
ENSMUSG00000083054.1	0	0	0	0	0	0	0	0
ENSMUSG00000092747.1	0	0	0	0	0	0	0	0
ENSMUSG00000036921.2	0	0	0	0	0	0	0	0
ENSMUSG00000070683.7	1	2	5	0	5	0	0	2
ENSMUSG00000103119.1	5	16	5	4	1	1	0	6
ENSMUSG00000028664.14	1219	1569	5880	2039	2782	1079	2297	5327
ENSMUSG00000036905.8	1939	3459	2956	955	4484	1214	514	1142
ENSMUSG00000036896.5	1034	1863	1442	421	2066	560	261	522
ENSMUSG00000036887.5	958	1254	634	203	1387	645	187	306
ENSMUSG00000028661.8	1	0	0	0	0	0	0	0
ENSMUSG00000060862.9	150	207	971	557	198	113	810	616
ENSMUSG00000077624.1	0	0	0	0	0	0	0	0
ENSMUSG00000085542.1	0	0	0	0	8	0	0	0
ENSMUSG00000087417.1	0	0	0	0	0	0	0	0
ENSMUSG00000085833.2	0	0	0	0	0	0	0	0
ENSMUSG00000093294.1	0	0	0	0	0	0	0	0
ENSMUSG00000092848.1	0	0	0	0	0	0	0	0
ENSMUSG00000080806.1	0	0	0	0	0	0	0	0
ENSMUSG00000082149.1	0	0	0	0	0	0	0	0
ENSMUSG00000036856.4	9	19	1	0	4	2	11	3
ENSMUSG00000006699.17	89626	72588	56411	33192	82122	43492	33864	45007
ENSMUSG00000089199.1	3	0	6	0	4	0	0	0
ENSMUSG00000101493.1	9	26	4	9	8	2	14	22
ENSMUSG00000070667.7	6	14	2	18	14	6	4	8
ENSMUSG00000078520.3	0	0	0	0	0	0	0	0
ENSMUSG00000023433.8	0	0	0	0	0	0	0	0
ENSMUSG00000086845.1	0	0	0	0	5	0	0	4
ENSMUSG00000041399.3	0	0	0	0	1	0	0	0
ENSMUSG00000028763.17	8623	11786	140709	57361	35967	14051	96829	213760
ENSMUSG00000099134.1	0	0	0	0	0	0	0	0
ENSMUSG00000094035.1	7	1	2	0	1	0	0	0
ENSMUSG00000043411.15	1803	1796	4615	3984	3081	1234	4552	3906
ENSMUSG00000041351.16	9	8	48	21	22	6	7	48
ENSMUSG00000087476.1	13	0	1	0	3	0	1	0
ENSMUSG00000028766.10	106	81	207	34	253	85	23	230
ENSMUSG00000057530.14	3758	2472	9174	5848	6192	3663	8440	14834
ENSMUSG00000085823.7	2	0	0	7	3	1	5	5
ENSMUSG00000028760.16	222	299	5331	3598	424	193	4734	5893
ENSMUSG00000084804.1	0	0	0	1	4	0	3	5
ENSMUSG00000098513.1	4	0	0	0	1	0	0	2
ENSMUSG00000078519.3	1	0	0	1	2	0	1	0
ENSMUSG00000028759.13	4611	4172	6781	7701	5207	2503	8800	6384
ENSMUSG00000045349.15	3	4	1	0	9	0	4	0
ENSMUSG00000028758.12	8	12	15	26	55	22	23	26
ENSMUSG00000028757.4	15202	13400	10897	7113	15719	8072	9542	10679
ENSMUSG00000028756.12	18365	13817	11043	14922	19607	7168	19962	14359
ENSMUSG00000099200.1	0	0	0	0	0	0	0	0
ENSMUSG00000098364.1	0	0	0	0	0	0	0	0
ENSMUSG00000028755.3	11	17	4	0	14	1	0	0
ENSMUSG00000078235.3	0	0	0	0	0	1	0	0
ENSMUSG00000046109.6	0	0	0	0	0	0	0	0
ENSMUSG00000083326.4	2	4	4	0	4	2	0	2
ENSMUSG00000041241.12	3891	4037	3163	2724	3379	1685	2461	2103
ENSMUSG00000046447.3	39	77	28	167	64	17	185	8
ENSMUSG00000028753.12	0	1	0	0	3	0	0	1
ENSMUSG00000088589.1	0	0	0	0	0	0	0	0
ENSMUSG00000043621.13	37	4	13	4	96	7	0	26
ENSMUSG00000028750.12	1	0	0	0	18	0	0	1
ENSMUSG00000028749.7	0	0	0	0	0	0	0	0
ENSMUSG00000041202.12	80	71	12	7	76	62	19	26
ENSMUSG00000041193.15	48	89	202	10	674	124	16	400
ENSMUSG00000087894.1	0	0	0	0	0	0	0	0
ENSMUSG00000058908.14	0	0	0	0	0	0	0	0
ENSMUSG00000078518.1	0	0	0	0	0	0	0	0
ENSMUSG00000028751.13	603	1108	1805	589	1103	319	174	1453
ENSMUSG00000041161.8	255	309	607	397	345	141	439	461
ENSMUSG00000070661.6	1	0	0	0	1	0	0	0
ENSMUSG00000041143.16	887	948	1004	842	1339	409	1163	1321
ENSMUSG00000028747.10	0	0	0	0	0	0	0	0
ENSMUSG00000110296.1	0	0	0	0	0	0	0	0
ENSMUSG00000041120.6	445	537	127	69	905	423	82	389
ENSMUSG00000050608.11	5347	6044	3796	3619	5614	3102	2664	3055
ENSMUSG00000083238.1	0	0	0	0	0	0	0	0
ENSMUSG00000073739.3	0	0	0	0	0	3	1	0
ENSMUSG00000028745.18	9809	9858	14383	8234	12801	5851	8176	12118
ENSMUSG00000028744.15	1181	1045	859	484	1049	548	550	550
ENSMUSG00000028743.7	5161	3411	1735	2115	3148	2452	2639	1762
ENSMUSG00000092909.1	2	2	2	2	0	2	1	0
ENSMUSG00000087943.1	21	15	16	11	3	6	25	14
ENSMUSG00000083404.1	0	0	0	1	0	0	0	1
ENSMUSG00000080708.1	55	60	38	27	36	30	48	46
ENSMUSG00000028741.13	1125	1353	1151	899	1362	652	774	710
ENSMUSG00000078517.11	12600	10991	12556	9024	15598	6811	11222	11278
ENSMUSG00000066036.14	1966	2536	30362	23431	2791	1243	27552	29506
ENSMUSG00000097731.1	5	7	15	17	5	6	10	17
ENSMUSG00000041025.15	1592	1401	4047	2460	2478	1157	3059	3089
ENSMUSG00000094359.1	0	0	0	0	1	0	0	0
ENSMUSG00000094439.1	0	0	0	1	0	1	0	0
ENSMUSG00000028737.15	3591	4193	3875	2852	4913	2067	4076	3442
ENSMUSG00000098569.1	0	0	0	0	0	0	0	0
ENSMUSG00000028738.14	0	0	0	0	0	0	0	1
ENSMUSG00000028736.13	0	0	0	0	0	0	0	0
ENSMUSG00000087646.1	1	2	0	0	0	0	0	0
ENSMUSG00000087628.1	0	0	0	0	0	0	0	0
ENSMUSG00000085928.1	0	0	0	0	0	0	0	0
ENSMUSG00000078234.6	8409	10380	33437	30867	18445	6527	40428	34939
ENSMUSG00000089294.1	0	0	0	0	0	0	0	0
ENSMUSG00000040972.8	123	55	271	33	248	115	53	274
ENSMUSG00000085968.1	0	0	0	0	0	0	0	0
ENSMUSG00000086164.1	0	0	0	0	0	0	0	0
ENSMUSG00000103107.1	0	0	0	0	6	0	0	0
ENSMUSG00000087084.1	0	0	0	0	0	0	0	0
ENSMUSG00000086960.1	0	0	0	0	0	0	0	0
ENSMUSG00000086437.2	4	6	16	5	14	7	1	2
ENSMUSG00000085047.1	0	0	0	0	0	0	0	0
ENSMUSG00000040964.16	198	222	207	58	385	99	37	108
ENSMUSG00000086159.1	1	0	2	0	0	0	0	0
ENSMUSG00000095878.1	0	0	0	0	0	0	0	0
ENSMUSG00000040945.13	3857	4001	3290	2585	5777	2661	3348	3492
ENSMUSG00000093071.1	0	0	0	0	0	0	0	0
ENSMUSG00000040935.12	0	0	0	0	0	0	0	0
ENSMUSG00000025330.6	0	23	0	0	18	1	0	0
ENSMUSG00000025328.9	1	1	1	0	5	2	0	1
ENSMUSG00000085918.1	2	4	6	0	5	5	0	6
ENSMUSG00000025329.3	0	8	0	0	10	1	0	0
ENSMUSG00000087045.1	0	0	0	0	0	0	0	0
ENSMUSG00000028927.6	21	14	30	6	41	3	3	6
ENSMUSG00000064443.1	0	0	0	0	0	0	0	0
ENSMUSG00000087698.1	3	2	2	0	0	3	2	4
ENSMUSG00000009863.14	24070	22469	16344	16807	18847	10614	16668	11433
ENSMUSG00000036622.15	3414	3803	7371	5150	5610	1946	5754	6249
ENSMUSG00000060572.17	14	29	1	0	22	1	0	0
ENSMUSG00000040860.16	18	20	96	204	14	8	183	83
ENSMUSG00000028923.14	4814	4384	3654	2214	4972	2305	2321	2906
ENSMUSG00000082246.1	2	3	8	7	7	1	0	3
ENSMUSG00000045004.3	4	3	3	2	56	2	2	5
ENSMUSG00000040842.17	3526	3481	3748	2574	3881	2045	2755	2867
ENSMUSG00000097620.7	6	24	5	40	8	11	31	15
ENSMUSG00000028920.9	1815	1689	4255	2727	2870	1112	3036	4275
ENSMUSG00000073733.4	9	3	10	5	8	1	21	8
ENSMUSG00000103366.1	0	0	0	0	0	0	0	0
ENSMUSG00000028919.11	18	20	1	2	55	28	0	12
ENSMUSG00000085774.1	0	0	0	0	0	0	0	0
ENSMUSG00000085395.1	1	1	0	0	0	6	1	0
ENSMUSG00000006445.3	208	147	152	129	261	104	165	144
ENSMUSG00000093180.1	0	0	0	0	0	0	0	0
ENSMUSG00000085836.1	0	0	4	0	0	0	2	0
ENSMUSG00000084238.1	0	0	0	8	0	0	1	0
ENSMUSG00000006218.4	0	1	0	0	4	1	0	0
ENSMUSG00000033770.13	1	5	3	19	2	1	7	1
ENSMUSG00000086061.7	1	0	0	1	0	0	0	0
ENSMUSG00000006216.10	0	0	0	0	2	0	1	0
ENSMUSG00000006221.7	3456	2005	3468	3104	4712	1589	4145	7000
ENSMUSG00000070637.2	0	0	0	0	1	1	6	7
ENSMUSG00000006215.12	369	456	669	791	520	239	879	598
ENSMUSG00000040761.16	146	180	2272	2120	153	99	2561	2282
ENSMUSG00000048406.5	81	51	26	44	74	16	82	8
ENSMUSG00000006219.12	59	126	136	16	223	156	13	43
ENSMUSG00000043085.14	28	20	2	6	14	8	0	2
ENSMUSG00000073731.12	0	0	0	0	0	0	0	0
ENSMUSG00000040740.7	10	10	5	2	41	25	14	43
ENSMUSG00000028917.14	1746	1876	3743	3193	2521	1137	3606	3058
ENSMUSG00000078515.4	1489	1457	4309	4020	2536	1187	3612	4043
ENSMUSG00000040715.12	0	0	0	0	0	0	0	0
ENSMUSG00000040706.4	0	0	0	0	1	0	1	0
ENSMUSG00000040697.10	2012	1809	2657	2125	2243	1174	2309	2285
ENSMUSG00000028914.13	3107	2714	2227	1993	3688	1770	2344	2055
ENSMUSG00000058579.5	1	0	0	0	0	0	0	0
ENSMUSG00000062478.16	0	0	0	0	0	0	0	0
ENSMUSG00000086818.1	0	0	0	0	0	0	0	0
ENSMUSG00000040659.3	1861	1680	1952	1252	2632	911	926	1353
ENSMUSG00000100396.1	0	0	0	0	4	0	0	0
ENSMUSG00000085922.1	0	0	0	0	0	0	0	0
ENSMUSG00000051435.11	1	2	0	0	3	1	0	0
ENSMUSG00000081079.1	0	0	0	0	0	0	0	0
ENSMUSG00000085424.1	0	0	0	0	0	0	0	0
ENSMUSG00000085761.1	2	8	0	1	4	0	0	0
ENSMUSG00000040616.3	57	99	23	4	82	26	1	4
ENSMUSG00000085574.1	0	0	0	0	0	0	0	0
ENSMUSG00000073728.10	0	1	0	0	1	0	0	0
ENSMUSG00000040606.13	58	72	81	57	86	43	27	15
ENSMUSG00000087525.1	0	0	0	0	0	0	1	0
ENSMUSG00000085816.1	0	0	0	0	0	0	0	0
ENSMUSG00000110067.1	0	0	0	0	0	0	0	0
ENSMUSG00000103678.1	0	0	0	0	0	0	0	0
ENSMUSG00000057637.13	334	321	3066	3317	602	201	4785	3891
ENSMUSG00000106597.1	0	1	0	0	1	2	1	1
ENSMUSG00000081838.1	1	5	4	2	1	1	5	3
ENSMUSG00000083826.1	2	6	2	2	9	0	2	5
ENSMUSG00000087903.1	0	0	0	0	0	0	0	0
ENSMUSG00000082575.1	0	1	0	2	0	2	0	0
ENSMUSG00000028583.14	32	34	5	0	44	24	0	0
ENSMUSG00000088395.1	0	0	0	0	0	0	0	0
ENSMUSG00000028584.3	0	0	0	0	0	0	0	0
ENSMUSG00000081792.4	0	0	0	0	0	0	0	0
ENSMUSG00000041805.3	0	0	0	0	0	0	0	0
ENSMUSG00000082407.1	0	0	0	0	0	0	0	0
ENSMUSG00000046862.14	87	80	68	42	97	36	64	44
ENSMUSG00000047799.15	0	0	0	0	0	0	0	0
ENSMUSG00000083930.1	0	0	0	0	0	0	0	0
ENSMUSG00000084059.1	0	0	0	0	0	0	0	0
ENSMUSG00000083403.1	0	0	0	0	0	0	0	0
ENSMUSG00000095409.1	0	0	0	0	0	0	0	0
ENSMUSG00000070616.13	0	0	0	0	0	0	0	0
ENSMUSG00000070618.10	0	0	0	0	0	0	0	0
ENSMUSG00000096154.1	0	0	0	0	0	0	0	0
ENSMUSG00000081523.1	0	0	0	0	0	0	0	0
ENSMUSG00000044377.3	53	65	54	31	81	42	18	31
ENSMUSG00000066688.4	0	0	0	0	0	0	0	0
ENSMUSG00000078513.2	0	0	0	0	0	0	0	0
ENSMUSG00000084351.1	0	0	0	0	0	0	0	0
ENSMUSG00000081227.1	2	0	8	0	7	2	4	2
ENSMUSG00000070617.2	0	0	0	0	0	0	0	0
ENSMUSG00000046435.7	0	0	0	0	0	0	0	0
ENSMUSG00000082717.1	0	0	0	0	0	0	0	0
ENSMUSG00000082030.1	0	0	0	0	0	0	0	0
ENSMUSG00000066031.13	0	0	0	0	0	0	0	0
ENSMUSG00000059218.14	0	0	0	0	0	0	0	0
ENSMUSG00000029451.14	0	0	0	0	0	0	0	0
ENSMUSG00000078512.8	0	0	0	0	0	0	0	0
ENSMUSG00000083749.1	0	0	0	0	0	0	0	0
ENSMUSG00000084123.1	0	0	0	0	0	0	0	0
ENSMUSG00000078511.3	0	0	0	0	0	0	0	0
ENSMUSG00000078510.3	0	0	0	0	0	0	0	0
ENSMUSG00000078509.1	0	0	0	0	0	0	0	0
ENSMUSG00000083456.1	0	0	0	0	0	0	0	0
ENSMUSG00000095987.1	0	0	0	0	0	0	1	0
ENSMUSG00000073724.12	0	0	0	0	0	0	0	0
ENSMUSG00000073723.10	0	0	0	0	0	0	0	0
ENSMUSG00000050810.8	0	0	0	0	0	0	0	0
ENSMUSG00000066030.6	0	0	0	0	0	0	0	0
ENSMUSG00000046262.14	0	0	0	0	0	0	0	0
ENSMUSG00000083708.1	8	18	18	28	16	6	72	21
ENSMUSG00000036749.15	0	0	0	0	0	0	0	0
ENSMUSG00000095960.1	0	0	0	0	0	0	0	0
ENSMUSG00000080943.1	0	0	0	0	0	0	0	0
ENSMUSG00000078508.1	0	0	0	0	0	0	0	0
ENSMUSG00000084312.1	0	0	0	0	0	0	0	0
ENSMUSG00000070619.5	0	0	0	0	0	0	0	0
ENSMUSG00000073721.5	0	0	0	0	0	0	0	0
ENSMUSG00000028591.11	54	112	195	89	171	80	61	404
ENSMUSG00000028590.6	0	0	0	2	0	0	0	8
ENSMUSG00000028589.2	0	1	7	34	18	9	12	24
ENSMUSG00000095213.1	0	1	2	0	0	1	1	3
ENSMUSG00000078507.1	5	8	14	29	1	5	6	9
ENSMUSG00000082835.1	0	0	0	0	0	0	0	0
ENSMUSG00000028593.5	0	0	0	0	0	0	1	2
ENSMUSG00000083390.1	0	0	0	0	0	1	2	0
ENSMUSG00000082418.1	12	28	33	56	29	13	65	75
ENSMUSG00000078506.1	0	0	0	0	0	0	0	0
ENSMUSG00000070610.4	46	45	67	51	69	39	65	40
ENSMUSG00000070609.3	0	0	1	0	0	0	0	3
ENSMUSG00000078505.1	0	0	1	1	0	0	0	3
ENSMUSG00000041735.8	6	2	13	0	1	0	0	4
ENSMUSG00000077327.1	0	0	0	0	0	0	0	0
ENSMUSG00000078504.2	1	0	0	5	0	0	0	6
ENSMUSG00000083998.1	2	0	0	0	0	0	0	0
ENSMUSG00000066026.14	32845	28976	24786	24308	37730	17255	33423	27797
ENSMUSG00000103911.1	5	1	5	2	3	4	0	2
ENSMUSG00000020220.16	3903	4306	27254	21932	6184	2674	22503	24780
ENSMUSG00000028599.10	1177	1021	3197	1296	2409	638	768	1996
ENSMUSG00000028602.12	17	4	21	11	14	1	2	14
ENSMUSG00000082758.1	0	0	0	0	0	0	0	0
ENSMUSG00000084272.1	0	0	0	0	0	0	0	0
ENSMUSG00000085101.7	0	0	0	0	0	0	0	1
ENSMUSG00000082082.1	1	0	3	4	2	3	0	5
ENSMUSG00000083081.1	0	0	0	1	0	0	0	1
ENSMUSG00000052912.7	12	8	33	21	18	2	29	25
ENSMUSG00000087076.2	0	0	0	0	0	0	0	0
ENSMUSG00000078503.9	13	10	100	96	17	5	21	83
ENSMUSG00000096864.1	0	0	0	0	1	0	0	0
ENSMUSG00000082352.1	0	0	0	0	0	0	0	0
ENSMUSG00000083454.1	3	5	6	2	2	1	3	2
ENSMUSG00000080732.1	0	0	0	0	0	0	0	0
ENSMUSG00000078502.10	6	14	20	6	23	10	0	10
ENSMUSG00000097661.1	0	0	0	0	0	0	0	0
ENSMUSG00000083562.1	0	0	1	2	0	1	1	2
ENSMUSG00000081885.1	2	4	26	23	3	0	13	17
ENSMUSG00000095517.1	0	0	0	0	0	0	0	0
ENSMUSG00000058186.13	1	0	0	0	1	0	1	0
ENSMUSG00000082615.1	0	0	0	0	0	0	0	0
ENSMUSG00000084279.1	0	0	0	0	0	0	0	0
ENSMUSG00000082334.1	0	6	1	0	0	0	0	0
ENSMUSG00000087513.1	0	0	0	0	0	0	0	0
ENSMUSG00000094417.1	0	0	0	2	0	0	2	0
ENSMUSG00000094177.1	0	0	0	0	1	0	0	0
ENSMUSG00000084350.1	44	50	45	24	65	30	4	20
ENSMUSG00000096233.1	0	0	0	1	0	0	0	2
ENSMUSG00000083235.1	0	0	0	0	0	0	0	0
ENSMUSG00000078500.3	0	0	0	1	0	1	0	0
ENSMUSG00000081595.1	0	0	0	1	0	0	0	1
ENSMUSG00000082195.3	0	2	8	6	6	0	10	12
ENSMUSG00000083733.3	0	0	0	0	0	0	0	0
ENSMUSG00000066009.8	0	0	1	0	0	0	1	2
ENSMUSG00000096958.1	1	0	0	0	0	0	0	0
ENSMUSG00000066007.15	0	0	0	0	2	1	1	0
ENSMUSG00000086654.1	0	0	0	0	1	0	0	0
ENSMUSG00000081522.1	0	0	0	0	0	0	0	0
ENSMUSG00000081671.1	0	0	0	0	0	0	0	0
ENSMUSG00000084127.1	184	215	237	153	216	108	209	237
ENSMUSG00000085525.7	1	11	16	7	4	7	7	6
ENSMUSG00000081460.1	0	0	3	1	2	0	0	1
ENSMUSG00000095096.1	0	0	0	0	0	0	0	0
ENSMUSG00000070605.4	102	92	207	180	59	43	109	167
ENSMUSG00000073716.6	1	4	1	0	1	0	0	2
ENSMUSG00000081998.1	0	3	2	11	0	1	0	1
ENSMUSG00000056300.14	5	3	8	6	2	0	0	7
ENSMUSG00000096979.1	0	0	2	0	0	0	0	3
ENSMUSG00000086046.1	3	0	0	0	7	1	0	0
ENSMUSG00000095865.1	2	2	1	5	3	1	1	4
ENSMUSG00000083038.1	0	0	0	0	0	0	0	0
ENSMUSG00000096366.1	0	0	0	0	0	0	0	0
ENSMUSG00000095460.1	0	0	0	0	0	0	2	0
ENSMUSG00000063245.11	36	24	23	26	18	20	26	25
ENSMUSG00000045699.3	4	9	11	6	10	3	6	0
ENSMUSG00000093919.1	0	0	0	1	1	0	0	0
ENSMUSG00000083027.1	2	8	45	26	14	0	16	17
ENSMUSG00000081260.1	1	0	0	0	0	0	0	0
ENSMUSG00000086147.2	0	2	2	4	2	0	0	6
ENSMUSG00000097168.1	0	0	0	0	0	1	0	1
ENSMUSG00000067919.8	8	3	3	3	1	1	1	1
ENSMUSG00000083704.1	0	0	0	0	0	0	0	0
ENSMUSG00000093617.1	0	0	0	0	0	0	0	0
ENSMUSG00000094017.1	0	0	0	0	0	0	0	0
ENSMUSG00000081405.1	223	252	277	148	232	135	213	214
ENSMUSG00000082779.1	4	1	4	1	2	0	5	3
ENSMUSG00000094849.1	0	4	4	0	0	0	0	0
ENSMUSG00000067916.9	81	86	84	44	100	41	14	82
ENSMUSG00000097122.1	17	23	0	2	9	13	0	8
ENSMUSG00000095054.1	0	0	6	1	4	1	0	0
ENSMUSG00000082176.1	1	0	0	0	0	0	0	1
ENSMUSG00000087207.8	1	0	1	7	3	0	1	1
ENSMUSG00000081627.1	0	0	0	2	0	0	0	1
ENSMUSG00000082925.1	0	0	0	0	6	2	4	2
ENSMUSG00000094318.1	0	0	0	0	0	0	0	0
ENSMUSG00000078498.5	4	1	4	0	1	0	1	1
ENSMUSG00000078497.9	1	1	0	6	0	1	0	3
ENSMUSG00000096354.1	0	0	0	0	0	0	0	0
ENSMUSG00000082248.1	6	2	0	2	1	0	2	0
ENSMUSG00000093975.1	10	1	0	0	0	1	0	0
ENSMUSG00000078496.9	18	21	10	0	34	11	2	7
ENSMUSG00000081301.1	0	0	0	0	0	1	0	0
ENSMUSG00000096440.1	1	0	0	0	0	0	0	0
ENSMUSG00000082599.3	3	0	0	0	1	0	0	0
ENSMUSG00000078160.2	3	1	0	0	2	1	0	0
ENSMUSG00000065999.13	5	12	28	17	11	4	6	16
ENSMUSG00000066000.12	247	143	308	112	319	148	34	144
ENSMUSG00000096065.1	0	0	0	0	0	0	0	0
ENSMUSG00000086130.1	0	0	4	0	0	0	0	0
ENSMUSG00000062518.7	3	1	3	3	1	1	1	3
ENSMUSG00000096521.1	0	0	0	0	0	0	0	0
ENSMUSG00000081179.1	0	2	6	8	6	0	14	2
ENSMUSG00000083642.1	0	0	0	0	0	0	0	0
ENSMUSG00000078495.10	221	170	3	15	298	130	2	7
ENSMUSG00000093594.1	80	56	10	2	78	25	15	7
ENSMUSG00000080059.4	8	12	35	21	12	1	4	23
ENSMUSG00000059423.13	297	208	501	399	374	226	331	544
ENSMUSG00000029022.18	1045	878	508	359	1060	382	410	365
ENSMUSG00000070583.1	103	111	592	201	155	85	201	339
ENSMUSG00000029020.13	18449	16179	25195	19621	22804	9407	26172	24788
ENSMUSG00000083340.1	0	0	0	1	2	1	2	0
ENSMUSG00000019055.15	6205	6236	7179	3917	11917	5360	5148	8290
ENSMUSG00000044496.6	5189	4886	4872	3960	6059	2534	3961	3876
ENSMUSG00000029019.8	0	0	0	0	0	0	0	0
ENSMUSG00000041616.9	1	1	0	0	0	0	0	0
ENSMUSG00000086806.1	4	4	0	0	0	0	0	0
ENSMUSG00000029016.13	2025	1882	2031	1390	1838	817	1648	1115
ENSMUSG00000083473.1	0	1	0	1	2	1	0	0
ENSMUSG00000029009.17	1978	1874	3986	4413	3052	1156	3360	3286
ENSMUSG00000094320.1	164	127	136	106	119	43	78	104
ENSMUSG00000078494.5	0	0	0	0	1	0	0	0
ENSMUSG00000029007.8	248	265	216	122	567	208	291	320
ENSMUSG00000029005.4	3	0	0	0	0	0	1	0
ENSMUSG00000029003.11	1115	819	722	661	1066	517	856	680
ENSMUSG00000055401.14	4363	3464	2129	1885	4539	2107	2583	2046
ENSMUSG00000099043.1	2	1	3	4	1	2	4	4
ENSMUSG00000029001.15	216	188	19	193	228	146	264	168
ENSMUSG00000041556.8	26	38	65	36	14	3	7	18
ENSMUSG00000041544.11	0	1	5	0	0	0	0	0
ENSMUSG00000087027.2	0	0	0	0	0	0	0	0
ENSMUSG00000086326.1	0	0	0	0	0	0	0	0
ENSMUSG00000047719.2	3157	2211	2128	1301	2489	1807	1690	1500
ENSMUSG00000064648.2	1	2	0	0	0	0	0	0
ENSMUSG00000028991.15	2123	2418	11313	8829	3359	1442	9165	12125
ENSMUSG00000028989.3	5	2	11	5	18	4	1	3
ENSMUSG00000089081.1	0	0	0	0	0	0	0	0
ENSMUSG00000088625.1	0	1	0	3	0	0	0	0
ENSMUSG00000017264.16	830	837	2337	2159	1234	512	2912	2394
ENSMUSG00000082860.1	10	17	1	11	2	5	11	12
ENSMUSG00000087217.1	0	0	0	0	0	0	0	0
ENSMUSG00000006442.10	2222	2546	3078	1528	2823	1034	1625	2317
ENSMUSG00000028979.17	3	8	5	7	21	4	7	39
ENSMUSG00000041459.15	8864	7923	8316	5274	8320	4173	4554	5742
ENSMUSG00000070577.5	0	0	0	0	0	0	0	0
ENSMUSG00000087273.1	0	0	0	0	0	0	0	0
ENSMUSG00000028977.16	16	23	44	70	92	38	221	45
ENSMUSG00000086766.1	1	0	0	1	0	0	0	0
ENSMUSG00000086606.1	0	0	8	1	1	0	2	3
ENSMUSG00000086740.1	26	15	55	44	17	9	29	8
ENSMUSG00000028975.16	3349	2893	3435	1980	2840	1490	2448	2459
ENSMUSG00000081086.1	17	14	16	19	29	15	15	19
ENSMUSG00000028974.13	678	555	1529	853	703	400	1109	993
ENSMUSG00000028971.4	1	0	1	0	1	0	0	0
ENSMUSG00000073705.10	59	24	50	27	15	34	8	32
ENSMUSG00000080746.3	32	26	11	6	29	24	17	8
ENSMUSG00000028961.15	72840	88143	81262	41942	68896	39041	39184	51762
ENSMUSG00000063077.14	12885	13244	67131	46991	21951	10010	48266	55547
ENSMUSG00000028960.18	2273	2544	8916	6662	4038	1648	7920	8253
ENSMUSG00000085286.1	1	3	9	2	7	1	5	1
ENSMUSG00000085807.1	0	0	0	2	2	0	1	0
ENSMUSG00000085819.7	16	17	12	23	22	1	34	32
ENSMUSG00000028996.9	827	820	44	21	569	549	99	18
ENSMUSG00000070572.7	43	45	32	39	43	28	39	20
ENSMUSG00000028992.13	498	394	1056	571	545	301	888	908
ENSMUSG00000087198.2	6	4	1	4	1	1	0	2
ENSMUSG00000028990.13	2024	1863	2859	1530	2198	1058	1380	2169
ENSMUSG00000083811.1	1	6	9	15	7	4	4	15
ENSMUSG00000084646.1	0	0	0	0	0	1	0	0
ENSMUSG00000028988.13	1592	1523	1179	820	1980	923	794	1046
ENSMUSG00000093403.1	2	1	0	0	0	0	0	0
ENSMUSG00000086949.1	0	0	0	0	0	0	0	0
ENSMUSG00000039953.13	2953	3146	8546	6314	5550	2073	7517	9070
ENSMUSG00000039936.18	182	215	360	80	386	78	54	117
ENSMUSG00000098580.1	1	0	0	0	0	0	0	0
ENSMUSG00000044700.15	2063	1850	2390	1813	2335	1010	2175	1949
ENSMUSG00000028982.9	1070	1069	758	499	1183	526	536	682
ENSMUSG00000085403.1	1	0	2	3	3	0	5	17
ENSMUSG00000085368.1	0	0	0	0	0	0	0	0
ENSMUSG00000084807.1	1	3	0	0	2	0	0	0
ENSMUSG00000081601.1	0	0	0	0	0	0	0	0
ENSMUSG00000083173.1	0	0	0	0	0	0	0	0
ENSMUSG00000064798.1	0	0	0	0	0	0	1	0
ENSMUSG00000106221.1	0	0	0	0	0	0	0	0
ENSMUSG00000039911.13	6428	4127	4839	2661	7412	2877	2767	2754
ENSMUSG00000086767.1	8	2	5	8	13	2	9	10
ENSMUSG00000028980.14	39412	35100	49148	56114	58109	23157	91437	69760
ENSMUSG00000086665.1	35	29	27	25	93	24	29	35
ENSMUSG00000065493.1	0	1	0	0	2	0	0	0
ENSMUSG00000102813.1	29	7	31	22	56	4	34	39
ENSMUSG00000047875.6	1622	1000	1218	1122	1323	660	1387	992
ENSMUSG00000087094.1	0	0	0	0	0	0	0	0
ENSMUSG00000028976.10	2	20	24	0	127	8	5	0
ENSMUSG00000062064.6	0	0	0	0	0	0	0	0
ENSMUSG00000028972.11	0	0	2	10	5	0	4	1
ENSMUSG00000082140.1	4	8	8	3	11	8	8	4
ENSMUSG00000063524.13	20027	20535	24715	15844	18939	9274	12818	18247
ENSMUSG00000039852.16	789	846	4465	4269	1394	618	7807	5481
ENSMUSG00000085787.3	8	6	11	8	4	2	6	0
ENSMUSG00000089292.1	1	1	0	0	1	0	0	0
ENSMUSG00000085213.1	2	4	0	5	0	0	25	3
ENSMUSG00000039838.11	0	0	0	1	0	0	0	0
ENSMUSG00000085869.1	0	0	0	0	0	0	0	0
ENSMUSG00000085097.1	0	0	0	0	0	0	0	0
