gene_id	KO_840	KO_843	KO_857	KO_891	WT_841	WT_842	WT_858	WT_892
ENSMUSG00000025911.14	14368	12449	11803	11220	20582	8398	15624	12715
ENSMUSG00000079671.8	32	34	33	49	38	26	26	35
ENSMUSG00000081441.3	0	2	1	7	1	0	2	2
ENSMUSG00000067879.3	15	14	13	1	1	2	1	1
ENSMUSG00000099827.1	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	92	85	196	92	122	30	28	210
ENSMUSG00000045210.8	3586	3180	5685	5277	4794	2301	5163	5948
ENSMUSG00000097893.8	56	51	55	44	63	24	32	46
ENSMUSG00000025915.14	1749	1226	735	800	1256	605	803	460
ENSMUSG00000046334.4	7	8	2	12	4	8	11	0
ENSMUSG00000088916.1	0	0	0	0	0	0	0	0
ENSMUSG00000046101.16	36	16	0	1	24	11	0	0
ENSMUSG00000098234.7	770	771	222	229	578	336	209	152
ENSMUSG00000093178.1	7	5	0	1	6	5	0	3
ENSMUSG00000099032.2	1	2	2	1	7	7	2	1
ENSMUSG00000104025.1	0	0	0	0	0	0	0	0
ENSMUSG00000025916.10	6	0	0	1	9	0	0	2
ENSMUSG00000087199.1	0	0	0	0	0	0	0	0
ENSMUSG00000095780.1	0	0	0	0	0	0	0	0
ENSMUSG00000025917.9	13883	11127	8839	6766	11494	6228	5712	7118
ENSMUSG00000056763.16	181	191	536	632	195	96	450	541
ENSMUSG00000102356.1	0	0	3	0	0	0	0	0
ENSMUSG00000067851.11	1837	1920	14379	7677	2948	1375	6850	10760
ENSMUSG00000088153.1	3	3	1	1	0	1	0	3
ENSMUSG00000102556.1	5	2	0	5	1	6	1	0
ENSMUSG00000042501.12	0	0	0	0	2	0	0	0
ENSMUSG00000103810.1	0	0	0	1	0	0	0	0
ENSMUSG00000083422.1	2	2	2	0	0	1	4	2
ENSMUSG00000094979.1	0	0	0	0	0	0	0	0
ENSMUSG00000081417.1	0	0	0	0	1	0	0	0
ENSMUSG00000103448.1	0	0	0	0	0	0	0	0
ENSMUSG00000100212.1	0	5	0	0	2	0	0	0
ENSMUSG00000100648.1	4	6	7	1	2	4	1	3
ENSMUSG00000088585.1	0	0	0	0	0	0	0	0
ENSMUSG00000048960.13	1474	1101	2124	1010	2591	1127	2304	3712
ENSMUSG00000077318.1	0	1	0	0	0	1	1	0
ENSMUSG00000101827.1	2	0	1	0	0	0	0	0
ENSMUSG00000103494.1	0	0	0	0	0	0	0	0
ENSMUSG00000057715.13	516	844	737	386	445	415	321	322
ENSMUSG00000103825.1	0	8	1	0	7	1	0	0
ENSMUSG00000099845.1	0	0	0	0	0	0	0	4
ENSMUSG00000103561.1	0	0	0	0	0	0	0	0
ENSMUSG00000101610.1	5	4	5	0	8	0	0	2
ENSMUSG00000093864.1	0	0	0	0	0	0	0	1
ENSMUSG00000098555.1	0	0	0	0	0	0	0	0
ENSMUSG00000097628.1	44	31	36	28	15	13	5	11
ENSMUSG00000098163.1	1	2	2	6	0	0	0	1
ENSMUSG00000097171.1	0	0	0	0	0	0	0	0
ENSMUSG00000101314.1	0	0	0	0	0	0	0	0
ENSMUSG00000016918.15	414	276	461	987	609	307	1135	302
ENSMUSG00000025938.16	10	15	45	6	66	1	1	28
ENSMUSG00000104518.1	0	0	0	0	0	0	0	0
ENSMUSG00000069620.6	0	0	0	0	0	0	0	0
ENSMUSG00000099498.1	0	0	0	0	0	0	0	0
ENSMUSG00000042414.7	0	0	0	0	0	0	0	0
ENSMUSG00000005886.14	786	1030	7217	5455	1427	635	5923	6837
ENSMUSG00000103506.1	6	7	2	11	6	1	5	4
ENSMUSG00000103495.1	5	1	0	7	3	4	1	7
ENSMUSG00000099183.1	2	0	1	3	0	1	0	0
ENSMUSG00000102639.1	5	0	2	0	2	7	0	0
ENSMUSG00000104170.1	6	5	0	0	1	2	0	0
ENSMUSG00000087782.1	0	0	0	0	0	0	5	0
ENSMUSG00000103085.1	31	4	5	17	14	1	12	4
ENSMUSG00000102664.1	12	5	5	2	3	4	6	5
ENSMUSG00000101476.1	2	1	0	0	0	0	1	0
ENSMUSG00000101171.1	0	0	0	0	0	0	0	1
ENSMUSG00000025935.10	13833	11879	8944	5923	14405	7697	7921	7541
ENSMUSG00000025937.6	9961	9909	11022	4251	7191	5179	4338	7309
ENSMUSG00000102982.1	6	7	1	1	14	3	0	11
ENSMUSG00000067813.3	0	0	0	0	0	1	0	1
ENSMUSG00000077368.1	0	0	0	0	0	0	0	0
ENSMUSG00000097711.1	31	21	21	12	16	7	12	9
ENSMUSG00000102166.1	0	1	0	0	0	0	0	0
ENSMUSG00000089358.1	0	0	0	0	0	0	0	0
ENSMUSG00000104209.1	0	0	1	0	0	0	0	0
ENSMUSG00000025932.14	117	89	270	4	255	121	7	166
ENSMUSG00000095853.1	0	0	0	0	0	0	0	0
ENSMUSG00000102588.1	0	0	0	0	0	0	0	0
ENSMUSG00000054493.2	2	0	0	0	3	2	0	0
ENSMUSG00000025930.6	9	21	0	0	9	1	0	0
ENSMUSG00000103492.1	0	2	0	0	0	1	0	0
ENSMUSG00000081201.1	0	1	0	0	0	0	2	0
ENSMUSG00000082193.1	9	8	4	2	2	0	2	3
ENSMUSG00000032769.4	0	0	0	0	0	0	0	0
ENSMUSG00000088159.1	0	0	0	0	0	0	0	0
ENSMUSG00000073737.3	17	13	29	11	10	11	11	13
ENSMUSG00000092083.4	0	1	0	0	0	0	0	0
ENSMUSG00000102937.1	0	0	0	0	0	0	0	0
ENSMUSG00000104149.1	0	0	0	0	0	0	0	0
ENSMUSG00000088829.1	0	0	0	0	0	0	0	0
ENSMUSG00000077377.1	0	0	0	0	0	0	0	0
ENSMUSG00000101652.1	6	0	6	4	4	3	3	3
ENSMUSG00000100814.1	6	0	4	3	4	3	1	1
ENSMUSG00000025925.14	138	84	116	160	188	63	141	98
ENSMUSG00000104379.1	1	3	0	0	1	1	0	0
ENSMUSG00000032719.4	1	0	0	0	0	0	0	0
ENSMUSG00000088943.1	0	0	0	0	0	0	0	0
ENSMUSG00000100652.1	0	4	0	1	1	0	0	0
ENSMUSG00000067795.13	2	0	0	0	10	0	0	0
ENSMUSG00000043716.13	12085	11035	9110	9023	10861	5798	7336	6259
ENSMUSG00000025921.7	1433	1094	432	620	1450	627	643	484
ENSMUSG00000104165.1	0	0	0	0	0	0	0	0
ENSMUSG00000100868.1	1	0	0	0	0	0	0	0
ENSMUSG00000025920.19	1652	1359	1021	863	891	859	1014	1063
ENSMUSG00000089982.7	0	1	1	0	1	1	1	0
ENSMUSG00000025939.17	21363	17848	12209	8027	20838	11699	8740	11468
ENSMUSG00000102457.1	116	69	80	202	96	73	482	165
ENSMUSG00000079658.9	7053	5466	4947	3709	6807	3549	3039	4278
ENSMUSG00000097744.1	9	1	0	1	1	2	1	2
ENSMUSG00000100959.1	0	1	0	0	0	1	0	0
ENSMUSG00000025940.6	12532	10514	6350	4847	9115	4886	4368	4973
ENSMUSG00000025779.10	300	286	186	95	305	163	74	107
ENSMUSG00000100093.1	0	0	0	0	0	0	0	0
ENSMUSG00000091020.3	74	45	10	6	85	35	2	17
ENSMUSG00000101640.1	0	0	0	0	0	1	0	0
ENSMUSG00000104133.1	0	0	0	0	0	0	0	0
ENSMUSG00000042686.5	480	361	1146	757	756	366	497	1106
ENSMUSG00000100110.1	0	0	0	0	0	0	0	0
ENSMUSG00000025777.8	18	13	48	13	30	9	6	28
ENSMUSG00000099899.1	0	0	0	0	0	0	0	0
ENSMUSG00000100272.1	0	0	0	0	0	0	0	0
ENSMUSG00000100398.1	0	0	0	0	0	1	0	0
ENSMUSG00000101589.1	7	4	21	16	0	4	8	8
ENSMUSG00000102048.1	4	0	5	0	2	0	0	2
ENSMUSG00000089534.1	0	0	0	0	0	0	0	0
ENSMUSG00000067780.3	351	186	7	1	176	106	1	1
ENSMUSG00000100053.1	0	0	0	0	1	0	0	0
ENSMUSG00000085125.7	0	4	0	0	2	0	3	0
ENSMUSG00000025776.13	28	38	0	0	26	44	0	2
ENSMUSG00000099895.1	0	0	0	0	0	0	0	0
ENSMUSG00000100554.1	0	1	4	0	1	0	0	3
ENSMUSG00000099473.1	0	0	0	0	0	0	0	0
ENSMUSG00000099591.1	0	0	0	0	0	0	0	0
ENSMUSG00000109887.1	0	0	0	0	0	0	0	0
ENSMUSG00000102001.1	0	0	0	0	0	0	0	0
ENSMUSG00000101717.2	0	0	0	0	0	0	0	0
ENSMUSG00000025774.14	0	0	0	0	0	0	0	0
ENSMUSG00000070977.4	0	0	0	0	0	0	0	0
ENSMUSG00000073735.1	0	0	0	0	0	0	0	0
ENSMUSG00000067773.6	0	0	0	0	0	0	0	0
ENSMUSG00000101685.1	0	0	2	0	0	0	0	1
ENSMUSG00000101738.1	0	0	0	0	0	0	0	0
ENSMUSG00000101306.1	0	0	0	0	0	0	0	0
ENSMUSG00000088800.1	0	0	0	0	0	0	0	0
ENSMUSG00000101644.1	0	0	0	0	0	0	0	0
ENSMUSG00000099433.1	0	0	0	0	0	0	0	0
ENSMUSG00000089787.2	0	0	0	0	0	0	0	0
ENSMUSG00000042596.7	0	0	0	0	0	0	0	0
ENSMUSG00000100720.1	0	0	0	0	0	0	2	2
ENSMUSG00000025927.13	0	0	0	0	0	0	0	0
ENSMUSG00000100538.1	0	0	0	0	1	0	0	0
ENSMUSG00000101117.1	0	0	0	0	0	0	0	0
ENSMUSG00000100204.1	10	6	17	10	10	3	10	8
ENSMUSG00000084668.1	0	0	0	0	0	0	0	0
ENSMUSG00000102597.1	0	0	0	0	0	0	0	0
ENSMUSG00000043760.16	7	8	14	0	32	13	1	24
ENSMUSG00000104095.1	0	0	0	0	0	0	0	0
ENSMUSG00000089914.2	0	0	0	0	0	0	0	0
ENSMUSG00000090142.2	0	0	0	0	0	2	0	0
ENSMUSG00000070175.1	0	0	0	0	0	0	0	1
ENSMUSG00000065559.1	0	0	0	0	0	0	0	0
ENSMUSG00000099906.1	0	0	0	0	0	0	0	0
ENSMUSG00000065480.1	0	0	0	0	0	0	0	0
ENSMUSG00000025929.4	0	0	0	0	0	0	0	0
ENSMUSG00000041872.9	0	0	0	0	0	0	0	1
ENSMUSG00000041859.10	634	595	735	638	644	385	297	502
ENSMUSG00000099714.1	0	0	0	0	0	0	0	0
ENSMUSG00000102121.1	0	0	0	0	0	0	0	0
ENSMUSG00000088858.1	0	0	0	0	0	0	0	0
ENSMUSG00000097934.1	0	0	0	0	0	0	0	0
ENSMUSG00000025931.15	561	651	605	765	716	222	368	377
ENSMUSG00000077314.1	0	0	0	4	0	0	0	0
ENSMUSG00000100929.1	0	0	0	4	0	0	0	0
ENSMUSG00000041809.5	140	97	126	92	246	55	165	121
ENSMUSG00000041779.5	2464	1856	3836	1422	3363	1671	1308	3504
ENSMUSG00000099971.1	2	0	1	1	1	1	1	0
ENSMUSG00000100819.1	24	24	9	12	17	6	6	2
ENSMUSG00000025933.15	1023	717	592	310	1053	418	323	517
ENSMUSG00000102633.1	4	0	0	0	0	0	0	0
ENSMUSG00000025934.15	17377	16701	7357	15898	6202	5835	9056	5625
ENSMUSG00000099343.1	17	21	12	4	0	4	4	2
ENSMUSG00000096375.2	1	4	0	4	6	0	4	0
ENSMUSG00000025936.15	1	11	2	2	1	0	0	8
ENSMUSG00000093963.1	3	2	0	0	1	0	0	0
ENSMUSG00000067750.3	0	0	0	0	0	0	0	0
ENSMUSG00000086194.1	0	0	0	0	0	0	0	0
ENSMUSG00000094436.1	0	0	0	0	0	0	0	0
ENSMUSG00000041722.7	0	0	0	0	0	0	0	0
ENSMUSG00000085507.1	0	0	0	0	0	0	0	0
ENSMUSG00000094926.1	0	0	0	0	0	0	0	0
ENSMUSG00000085079.3	0	0	0	0	0	0	0	0
ENSMUSG00000085679.2	0	0	0	0	0	0	0	0
ENSMUSG00000028033.16	5	9	0	0	5	2	0	0
ENSMUSG00000104138.1	0	0	0	0	0	0	0	0
ENSMUSG00000082935.3	123	83	72	80	107	48	65	70
ENSMUSG00000103748.1	0	9	0	0	0	0	0	0
ENSMUSG00000097109.1	0	6	0	0	0	0	0	0
ENSMUSG00000099692.1	0	0	0	0	0	0	0	2
ENSMUSG00000100418.1	0	0	0	0	0	0	0	0
ENSMUSG00000041670.15	21	4	9	11	6	1	4	1
ENSMUSG00000097642.1	0	0	0	0	0	0	0	0
ENSMUSG00000101468.1	0	1	0	0	0	0	1	0
ENSMUSG00000101227.1	13	3	3	0	8	0	5	1
ENSMUSG00000073730.2	0	0	1	0	116	0	5	0
ENSMUSG00000089553.1	0	0	0	0	0	0	0	0
ENSMUSG00000102766.1	3	1	0	1	2	0	2	0
ENSMUSG00000065405.3	0	0	3	0	1	0	4	2
ENSMUSG00000097970.1	60	39	28	45	48	15	31	48
ENSMUSG00000065567.1	0	0	0	0	0	0	0	0
ENSMUSG00000100775.1	36	25	9	19	37	12	18	14
ENSMUSG00000101226.1	0	0	0	0	0	0	0	0
ENSMUSG00000026158.11	337	262	501	456	340	192	606	410
ENSMUSG00000097920.1	5	0	0	8	1	1	0	1
ENSMUSG00000099503.1	0	0	0	0	0	0	0	0
ENSMUSG00000026156.8	23	21	19	27	34	28	2	36
ENSMUSG00000026155.13	830	840	2238	1006	1108	515	1155	1756
ENSMUSG00000026154.4	2177	2172	1504	1124	1988	1180	781	1255
ENSMUSG00000102495.1	0	0	0	0	0	0	0	0
ENSMUSG00000026153.15	2487	1974	2418	2059	2290	1144	1824	1958
ENSMUSG00000102398.1	0	2	0	4	1	0	0	0
ENSMUSG00000097670.1	0	0	0	0	0	0	0	0
ENSMUSG00000026147.16	0	0	0	0	0	0	0	0
ENSMUSG00000026141.13	0	0	4	0	0	0	0	0
ENSMUSG00000077463.1	0	0	0	0	0	0	0	0
ENSMUSG00000099997.1	31	12	10	9	13	5	4	2
ENSMUSG00000100131.1	0	0	1	1	0	3	1	1
ENSMUSG00000067736.2	1	0	1	3	0	0	2	2
ENSMUSG00000101939.1	1	2	2	8	0	0	5	3
ENSMUSG00000101111.1	7	8	10	6	8	5	6	4
ENSMUSG00000100862.1	0	3	5	2	4	0	3	11
ENSMUSG00000102070.1	5	4	9	4	2	1	2	1
ENSMUSG00000101249.1	86	85	81	101	65	28	82	94
ENSMUSG00000073725.8	9616	8421	7597	5779	10812	5282	6981	7334
ENSMUSG00000100808.1	0	0	0	0	0	0	0	0
ENSMUSG00000100483.1	0	0	0	0	0	0	0	0
ENSMUSG00000100450.1	0	0	0	0	0	0	0	0
ENSMUSG00000099392.1	0	0	0	0	0	0	0	0
ENSMUSG00000033569.17	0	0	0	4	47	1	1	4
ENSMUSG00000080849.1	0	0	0	0	0	0	0	0
ENSMUSG00000104257.1	0	0	0	0	0	0	0	0
ENSMUSG00000096866.1	0	0	0	0	0	0	0	0
ENSMUSG00000102296.1	0	0	0	0	0	0	0	0
ENSMUSG00000103209.1	0	0	0	0	0	0	0	0
ENSMUSG00000104027.1	0	0	0	0	0	0	0	0
ENSMUSG00000102407.1	0	0	0	0	0	0	0	0
ENSMUSG00000103214.1	0	0	0	0	0	0	0	0
ENSMUSG00000104100.1	0	0	0	0	0	0	0	0
ENSMUSG00000084740.1	0	0	0	0	0	0	0	0
ENSMUSG00000103889.1	0	0	0	0	0	0	0	0
ENSMUSG00000101301.1	0	0	0	0	0	0	0	0
ENSMUSG00000104221.1	0	0	0	0	0	0	0	0
ENSMUSG00000102250.1	0	0	0	0	0	0	0	0
ENSMUSG00000102317.1	0	0	0	0	0	0	0	0
ENSMUSG00000103563.1	0	0	0	0	0	0	0	0
ENSMUSG00000102465.1	0	0	0	0	0	0	0	0
ENSMUSG00000102659.1	0	0	0	0	0	0	0	0
ENSMUSG00000103924.1	0	0	0	0	0	0	0	0
ENSMUSG00000104132.1	0	0	0	0	0	0	0	0
ENSMUSG00000102747.1	0	0	0	0	0	0	0	0
ENSMUSG00000102386.1	0	0	0	0	0	0	0	0
ENSMUSG00000103004.1	0	0	0	0	0	0	0	0
ENSMUSG00000104516.1	0	0	0	0	0	0	0	0
ENSMUSG00000101618.1	0	0	0	0	2	0	0	0
ENSMUSG00000099458.1	0	0	0	0	0	0	0	0
ENSMUSG00000088111.1	0	0	0	0	0	0	0	0
ENSMUSG00000073722.3	0	0	0	0	1	0	0	0
ENSMUSG00000095256.1	0	0	0	0	0	0	0	0
ENSMUSG00000100310.1	0	0	0	0	0	0	0	0
ENSMUSG00000101514.1	0	0	0	0	0	1	0	1
ENSMUSG00000101033.1	0	0	0	0	0	0	0	0
ENSMUSG00000101372.1	2	0	0	4	0	0	0	0
ENSMUSG00000103241.1	0	0	0	0	0	0	0	0
